"","word","ArticleCount"
"1","1st",3
"2","213ag",2
"3","2m",2
"4","2nd",4
"5","3min",2
"6","3rd",3
"7","4th",2
"8","5m",2
"9","74cg",2
"10","7th",2
"11","94tc",2
"12","9th",2
"13","aaa",5
"14","aai",5
"15","aais",6
"16","aat",2
"17","abilities",8
"18","ability",24
"19","absence",18
"20","absent",9
"21","abstract",3
"22","accelerometer",2
"23","acceptable",3
"24","acceptance",4
"25","accepted",2
"26","access",7
"27","accompanied",5
"28","accomplish",3
"29","accordance",7
"30","account",8
"31","accounted",2
"32","accounting",3
"33","accuracy",7
"34","accurate",3
"35","accurately",5
"36","achieve",2
"37","achievement",2
"38","acid",2
"39","acoustic",3
"40","acquiring",2
"41","acquisition",5
"42","act",3
"43","acted",4
"44","acth",2
"45","acting",3
"46","action",6
"47","actions",9
"48","activated",4
"49","activation",16
"50","active",16
"51","actively",6
"52","activities",19
"53","activity",51
"54","actual",3
"55","acute",6
"56","adapt",3
"57","adaptation",7
"58","adapted",4
"59","adapting",2
"60","adaptive",5
"61","addition",23
"62","additional",15
"63","additionally",12
"64","address",3
"65","addressed",4
"66","addresses",2
"67","addressing",2
"68","adjacent",2
"69","administered",6
"70","administration",7
"71","admittance",3
"72","admitted",2
"73","adopt",2
"74","adoptability",2
"75","adopted",6
"76","adopters",2
"77","adoption",12
"78","adoptions",3
"79","adrenal",9
"80","adult",40
"81","adulthood",3
"82","adults",6
"83","advantage",3
"84","advantageous",2
"85","adverse",2
"86","affect",31
"87","affected",27
"88","affecting",6
"89","affection",3
"90","affectionate",2
"91","affective",6
"92","affects",7
"93","affiliation",4
"94","affiliative",18
"95","ag",2
"96","age",43
"97","aged",10
"98","ageing",3
"99","ages",2
"100","aggression",27
"101","aggressive",28
"102","aggressiveness",6
"103","agility",6
"104","aging",2
"105","ago",2
"106","agonistic",3
"107","agreeableness",2
"108","agreement",3
"109","aid",2
"110","aim",67
"111","aimed",20
"112","aims",6
"113","ainsworth",11
"114","ainsworth's",4
"115","al",10
"116","albuquerque",2
"117","alert",5
"118","allocated",6
"119","allocation",4
"120","allowed",8
"121","allowing",3
"122","alter",2
"123","alterations",5
"124","altered",2
"125","alternated",2
"126","alternations",3
"127","alternative",7
"128","alzheimer's",2
"129","ambiguous",4
"130","ambivalent",5
"131","ameliorate",3
"132","ameliorative",2
"133","american",4
"134","amount",14
"135","ample",3
"136","analogies",2
"137","analogous",6
"138","analogy",2
"139","analyse",3
"140","analysed",18
"141","analyses",7
"142","analysing",3
"143","analysis",58
"144","analyze",5
"145","analyzed",29
"146","angry",2
"147","animal",78
"148","animals",65
"149","answered",2
"150","anthrozoology",2
"151","anxiety",27
"152","anxious",10
"153","apa",2
"154","apparatus",3
"155","apparent",8
"156","apparently",2
"157","appeal",2
"158","appearance",2
"159","appeared",13
"160","appears",7
"161","appeasement",8
"162","appl",2
"163","application",6
"164","applications",2
"165","applied",13
"166","apply",4
"167","applying",3
"168","apprentice",2
"169","approach",48
"170","approached",18
"171","approaches",6
"172","approaching",17
"173","appropriately",5
"174","approximately",15
"175","arena",6
"176","arousal",11
"177","aroused",4
"178","arousing",2
"179","arrival",5
"180","article",5
"181","artificial",2
"182","aspect",5
"183","aspects",12
"184","assay",2
"185","assayed",2
"186","assays",2
"187","assess",54
"188","assessed",43
"189","assessing",8
"190","assessment",36
"191","assessments",10
"192","assessor",2
"193","assigned",11
"194","assist",4
"195","assistance",6
"196","assistant",2
"197","assistants",2
"198","assisted",21
"199","associate",2
"200","association",18
"201","associations",13
"202","assume",4
"203","assumed",2
"204","assumption",2
"205","attached",10
"206","attachment",52
"207","attachments",3
"208","attempt",5
"209","attempting",2
"210","attempts",8
"211","attend",4
"212","attended",5
"213","attending",2
"214","attention",33
"215","attentional",3
"216","attentive",6
"217","attentiveness",3
"218","attitude",4
"219","attitudes",4
"220","attract",2
"221","attributed",6
"222","attributes",3
"223","attribution",4
"224","attributions",2
"225","atypical",2
"226","audio",2
"227","auditory",4
"228","austria",2
"229","author",7
"230","authors",15
"231","autonomic",4
"232","average",13
"233","averaged",2
"234","aversive",13
"235","averting",2
"236","avoid",10
"237","avoidance",19
"238","avoidant",7
"239","avoided",3
"240","avoiding",4
"241","avp",3
"242","awake",3
"243","aware",3
"244","axis",10
"245","b.v",24
"246","background",6
"247","backward",3
"248","balance",2
"249","balanced",3
"250","ball",5
"251","barked",5
"252","barking",8
"253","barq",3
"254","basal",5
"255","base",13
"256","based",50
"257","basel",5
