"","key","title","month","day","journal","issn","volume","issue","pages","authors","url","language","publisher","abstract","notes","doi","pubmed_id","pmc_id","keywords","year","location"
"1","rayyan-875297653","<p>Bark to the future: The welfare of domestic dogs during interaction with a positively reinforcing artificial agent</p>",4,NA,"applied animal behaviour science","0168-1591",249,NA,NA,"Shaw, N. and Wemelsfelder, F. and Riley, L. M.",NA,NA,NA,"Domestic pet dogs typically spend a large amount of time inside the home environment, including hours alone. An audio/food dispensing automated device (an artificial agent, hereafter agent) was evaluated for enrichment potential. The agent issued owner-spoken verbal cues to dogs, and food rewards for correct behaviour responses. The dogs' welfare during interaction was examined using Qualitative behaviour Assessment (QBA), and results were compared with quantitative behaviour measurements. QBA is a 'whole animal' measure, which describes and quantifies the emotionally expressive quality of an animal's demeanour in a specific context, using descriptive terms such as 'excited' or 'curious'. Adult pet domestic dogs (n = 17) were observed in two experimental conditions: 1) Agent; researcher and owner present (A+RO); 2) Agent; researcher and owner absent (A-RO). The agent was remotely triggered to call each dog by name and issue up to four repeated, randomised and previously trained verbal cues e.g., 'spin', 'roll', 'sit', 'up' (maximum 16 cues). In a baseline condition (Owner; researcher and agent present) (O+RA) the dog's owner replaced the agent's role. QBA using a fixed list of 20 descriptors was performed by three observers for each dog in each condition, using video recordings (51 clips) and Principal Component Analysis (PCA) applied. QBA principal component 1 (PC1) was the same in all conditions, characterising dogs as ranging from 'attentive/interested/anticipating' to 'conflicted/apathetic', with the majority of dogs at the former end. QBA PC2 revealed variability in dogs' interactive styles, ranging from 'calm/concentrating' to 'aroused/excited/persistent' in agent conditions, and 'calm/wary' to 'excited/aroused' in baseline. Inter-observer agreement was high on all PCs (e.g., PC1 A+RO Kendall's W = 0.88; PC1 A-RO W = 0.83; PC1 O+RA W = 0.77). Quantitative continuous behaviour sampling revealed no significant differences in state behaviour between conditions; 'looking up' (p = 0.494); 'ears up' (p = 0.662); 'cued response behaviour (p = 0.630); these behaviour categories correlated significantly with QBA PC1 in each condition (average r = 0.800; r = 0.780; r = 0.793 respectively).& nbsp;Indicators of positive anticipation, sustained engagement, competence, and motivation were identified throughout testing and in all conditions. These findings suggest that positively reinforcing interactions with an agent or an owner are equally rewarding for dogs within the context of testing. This study is the first to assess welfare during interaction with an automated device and, using a novel application of QBA, suggests the overarching experience is pleasurable for dogs.","0     105595 | RAYYAN-INCLUSION: {""Kelsey""=>""Included""}","10.1016/j.applanim.2022.105595",NA,NA,"Dog;Artificial agent;Positive reinforcement;Pleasure;Positive;welfare;QBA;QUALITATIVE BEHAVIORAL-ASSESSMENT;COGNITIVE ENRICHMENT;TRAINING;METHODS;ANIMAL EMOTION;REWARD;CHALLENGE;INDICATOR;RESPONSES;SHELTER;HORSES;Dogs;Reinforcement (Psychology)",2022,"[Shaw, Nicky; Riley, Lisa M.] Univ Winchester, Fac Hlth & Wellbeing, Ctr Anim Welf, Sparkford Rd, Winchester, Hants, England. [Wemelsfelder, Francoise] Scotlands Rural Coll, Anim & Vet Sci, Midlothian, Scotland.     Shaw, N (corresponding author), Univ Winchester, Fac Hlth & Wellbeing, Ctr Anim Welf, Sparkford Rd, Winchester, Hants, England.     N.Shaw.18@unimail.winchester.ac.uk"
"2","rayyan-825284643","Attachment towards the Owner Is Associated with Spontaneous Sleep EEG Parameters in Family Dogs",NA,NA,"animals","20762615",12,7,"895","Carreiro, Cecília and Carreiro, Cecília and Reicher, Vivien and Kis, Anna and Gácsi, Márta","https://www.proquest.com/docview/2648975098?accountid=12753&bdid=17177&_bd=35D%2FtkDJFh4VgSmbqoJV0XLzhEo%3D",NA,NA,"Simple SummaryDogs have been shown to form attachment bonds towards their owners analogous to the human infant-parent attachment. In humans, the neurological background of variation in attachment and similar trait-like social behaviour has been described. It is known that certain sleep parameters are in association with an individual’s attachment-related traits. In the current study, we provide the first evidence that dogs’ attachment towards their owner is also associated to dogs’ sleep structure (the time they spend in the different sleep stages) as well as to their brain activity during sleep. Thus, as in humans, when dogs sleep in a novel environment (in the presence of their owners), differences in their attachment bond are reflected in their sleep EEG characteristics.AbstractAffective neuroscience studies have demonstrated the impact of social interactions on sleep quality. In humans, trait-like social behaviour such as attachment, are related to sleep brain activity patterns. Our aim was to investigate associations between companion dogs’ spontaneous brain activity during sleep (in the presence of the owner) and their relevant behaviour in a task-free social context assessing their attachment towards the owner. In random order, each dog participated in a non-invasive sleep electroencephalogram (EEG) measurement and in the Strange Situation Test (SST) to assess their attachment behaviour We found that higher attachment scores were associated with more time spent in NREM sleep, lower NREM alpha power activity and lower NREM alpha–delta anticorrelation. Our results reveal that, when dogs sleep in a novel environment in the company of their owners, differences in their attachment are reflected in their sleep EEG characteristics. This could be best explained by the different degree that owners could be used as a safe haven in an unfamiliar environment and during the unusual procedure of the first EEG measurement.","RAYYAN-INCLUSION: {""Kelsey""=>""Included"", ""l.c.blake""=>""Included""} | RAYYAN-LABELS: pass new rule",NA,NA,NA,"Dogs;Electroencephalography",2022,"Doctoral School of Biology, Institute of Biology, ELTE E�tv�s Lor�nd University, 1117 Budapest, Hungary; vivien.reicher@gmail.com. Department of Ethology, Institute of Biology, ELTE E�tv�s Lor�nd University, 1117 Budapest, Hungary; vargane.kis.anna@ttk.mta.hu (A.K.); marta.gacsi@gmail.com (M.G.). Doctoral School of Biology, Institute of Biology, ELTE E�tv�s Lor�nd University, 1117 Budapest, Hungary; vivien.reicher@gmail.com. Department of Ethology, Institute of Biology, ELTE E�tv�s Lor�nd University, 1117 Budapest, Hungary; vargane.kis.anna@ttk.mta.hu (A.K.); marta.gacsi@gmail.com (M.G.). MTA-ELTE Comparative Ethology Research Group, 1117 Budapest, Hungary; Department of Ethology, Institute of Biology, ELTE E�tv�s Lor�nd University, 1117 Budapest, Hungary; vargane.kis.anna@ttk.mta.hu (A.K.); marta.gacsi@gmail.com (M.G.). Institute of Cognitive Neuroscience and Psychology, Research Centre for Natural Sciences, 1117 Budapest, Hungary; Department of Ethology, Institute of Biology, ELTE E�tv�s Lor�nd University, 1117 Budapest, Hungary; vargane.kis.anna@ttk.mta.hu (A.K.); marta.gacsi@gmail.com (M.G.). MTA-ELTE Comparative Ethology Research Group, 1117 Budapest, Hungary"
"3","rayyan-825284596","Dog behaviours in veterinary consultations: Part 1. Effect of the owner’s presence or absence",NA,NA,"veterinary journal","1090-0233",280,NA,NA,"Girault, C. and Priymenko, N. and Helsly, M. and Duranton, C. and Gaunet, F.","https://www.proquest.com/docview/2648861879?accountid=12753&bdid=17177&_bd=zIxllzrVUQEIUwmCXuN3r6piVeo%3D",NA,NA,"Veterinary practices can be stressful places for dogs. Decreasing stress during veterinary consultations is therefore a major concern, since animal welfare matters both for owners and veterinarians. Stress can be expressed through behaviour modifications; monitoring canine behaviour is thus one way to assess stress levels. We also know that the owner can affect dog behaviour in different ways. The aim of this study was therefore to assess the effect of the presence of owners on the behaviour of their dogs in veterinary consultations. We studied 25 dog-owner dyads at two standardised veterinary consultations, conducted at intervals of 5–7 weeks; the owner was present for the first consultation and absent for the second (O/NoO group, n = 12), or vice versa (NoO/O group, n = 13). A consultation consisted in three phases: exploration, examination, greeting. Dog behaviour were compared between the two conditions using a video recording. Despite some limitations (e.g. no male owners, the exclusion of aggressive dogs, a limited sample size, minimally invasive veterinary examinations, restricted owner-dog interactions), our results showed that the presence or absence of the owner had no significant effect on the stress-related behaviour of the dog or the veterinarian’s ability to handle the animal during the examination phase (P > 0.05). Nevertheless, the behaviour of the dogs towards people was affected before, during, and after the veterinary examination. In the presence of their owner, dogs were more willing to enter the consultation room (P < 0.05), and they appeared more relaxed during the exploration phase (P < 0.01). During the examination, dogs looked in direction of their owner in both situations (owner present and behind the door, respectively; P < 0.001). These results suggest that allowing the owner to stay in the room during veterinary consultations is a better option for canine welfare.","RAYYAN-INCLUSION: {""Kelsey""=>""Included"", ""l.c.blake""=>""Included""} | RAYYAN-LABELS: pass new rule",NA,NA,NA,"Dogs;Referral and Consultation",2022,"Girault, C Ecole Nationale V�t�rinaire de Toulouse, ENVT, 23 chemin des Capelles, BP 87614, 31076 Toulouse Cedex, France. , TOXALIM, Universit� de Toulouse, INRA, ENVT, 23 chemin des Capelles, BP 87614, 31076 Toulouse Cedex, France."
"4","rayyan-825284623","Dog behaviours in veterinary consultations: Part II. The relationship between the behaviours of dogs and their owners",NA,NA,"veterinary journal","1090-0233",281,NA,NA,"Helsly, M. and Priymenko, N. and Girault, C. and Duranton, C. and Gaunet, F.","https://www.proquest.com/docview/2648861909?accountid=12753&bdid=17177&_bd=550foqQggSZib%2BIlgePpRgXd2As%3D",NA,NA,"Dogs synchronise their behaviour with those of their owners when confronted with an unfamiliar situation and interactions with their owners have been shown to decrease the dog’s stress levels in some instances. However, whether owners may help manage dog anxiety during veterinary consultations remains unclear. In Part I, we compared the behaviour of dogs in the presence or absence of their owners during consultations, which consisted in three phases: exploration, examination, and greeting. Our findings suggest that allowing owners to attend consultations may be beneficial for dogs. In Part II, we investigated the direct relationship between owners’ actions and their dog’s behaviour Using the videos from Part I, we examined whether: (1) dogs interact more when their owner is more interactive; (2) owners’ stress scores are related to canine stress-related behaviour and emotional state; (3) owners’ actions influence canine stress-related behaviour emotional state and tolerance to manipulations; (4) canine stress-related behaviour and emotional state are associated with increased eye contact with their owners. We analysed the recordings of 29 dog-owner dyads submitted to a veterinary consultation in Part I. The behaviour of the dogs and their owners were analysed, and their emotional states were scored. The ease of manipulations was also scored. Despite limitations (e.g. no physical contact during examinations, no invasive procedures, aggressive dogs excluded, no male owners, limited sample size), our study showed a link between dog and owner behaviour when owners attended an examination, their negative behaviour intensified the signs of anxiety in their dogs. Additionally, visual and verbal attempts to comfort their dog had no significant effect. However, we observed that the more dogs displayed stress-related behaviour the more they established eye contact with their owners, suggesting that dogs seek information (through social referencing) or reassurance from their owners.","RAYYAN-INCLUSION: {""Kelsey""=>""Included"", ""l.c.blake""=>""Included""} | RAYYAN-LABELS: pass new rule",NA,NA,NA,"Dogs;Referral and Consultation",2022,"Helsly, M Ecole Nationale V�t�rinaire de Toulouse, ENVT, 23 chemin des Capelles, BP 87614, 31076 Toulouse Cedex, France. , TOXALIM, Universit� de Toulouse, Institut National de la Recherche Agronomique, ENVT, 23 chemin des Capelles, BP 87614, 31076 Toulouse cedex, France."
"5","rayyan-875295188","Effect of cooperative care training on physiological parameters and compliance in dogs undergoing a veterinary examination – A pilot study",NA,NA,"applied animal behaviour science","01681591 (ISSN)",250,NA,NA,"Wess, L. and Böhm, A. and Schützinger, M. and Riemer, S. and Yee, J. R. and Affenzeller, N. and Arhant, C.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127120098&doi=10.1016%2fj.applanim.2022.105615&partnerID=40&md5=a0650e113b7f0d6604ad51bcbe86d405","English",NA,"One way to reduce fear and lack of compliance during veterinary procedures is ‘cooperative care training’, training animals to voluntarily participate in husbandry and medical care. Here we assessed the effects of cooperative care training on heart rate (HR), heart rate variability (HRV), tympanic membrane temperature (TMT) and compliance (i.e., all steps of the examination completed) of dogs during a veterinary examination. A blinded controlled trial with 47 dogs (training group (TG): 26; control group (CG): 21) was carried out. Forty dogs completed the study (TG: 22, CG:18). Dogs and their owners took part in a standardized veterinary visit twice (visit interval: 140 ± 23 days). In between, the TG took part in cooperative care training (10 ± 2 group training sessions, additional training at home). Linear mixed models were calculated (fixed effects HR/HRV: group* visit* period, TMT: group* visit; random effect: dogID). Compliance (completed steps of exam) was analyzed using McNemar tests. HR/HRV was higher/lower during the veterinary examination compared to the waiting room (period: p &lt; 0.001), indicating that the examination was more stressful. No significant differences in HR/HRV regarding group*visit were found. TMT, taken at the end of each examination, resulted in a significant group*visit interaction (p = 0.008); stress appeared increased during visit 2 in the CG whereas in the TG a heterogeneous pattern, with 42% of dogs with reduced rightward bias, was observed. Compliance was lower in the TG during the second visit (p = 0.04). Trainer and owners claimed observable improvement of behaviour during training and a decrease in HR between visits correlated significantly with trainer perception of high training success (rs = −0.52, p = 0.049). Overall, transfer of trained skills to the veterinary examination performed by a team blinded to the group allocation was poor. TMT analyses and HR/HRV data within the training group, suggest that the training had differing effects on the dogs based on their previous tolerance of handling and their progress made during training. Further research how to optimize training programs, including desensitization and counterconditioning, and their outcomes is needed. © 2022 The Authors","Export Date: 17 May 2022     CODEN: AABSE     Correspondence Address: Arhant, C.; Institute of Animal Welfare Science, Veterinärplatz 1, Austria; email: Christine.Arhant@vetmeduni.ac.at | RAYYAN-INCLUSION: {""Kelsey""=>""Included""}","10.1016/j.applanim.2022.105615",NA,NA,"Animal welfare;Dogs/canine;Heart rate;Heart rate variability;Husbandry training;Low stress handling;Tympanic membrane temperature;behavioral response;canid;numerical model;physiology;Dogs;Pilot Projects",2022,"Institute of Animal Welfare Science, Vetmeduni Vienna, Austria     Department of Behavioural and Cognitive Biology, University of Vienna, Austria     Companion Animal Behaviour Group, Division of Animal Welfare, Vetsuisse Faculty, University of Bern, Switzerland     Clinical Unit of Internal Medicine Small Animals, Vetmeduni Vienna, Austria"
"6","rayyan-875293161","Effects of Environmental Enrichment on Dog Behaviour: Pilot Study",NA,NA,"animals","20762615",12,2,"141","Hunt, Rebecca L. and Hunt, Rebecca L. and Whiteside, Helen and Prankel, Susanne","https://www.proquest.com/docview/2621243875?accountid=12753&bdid=17177&_bd=8YCK5%2FZEhtSUV5RNjwznZJCx0Vo%3D",NA,NA,"Simple SummaryThe quality of life for domestic and captive animals can be enhanced and improved by providing additional stimuli and activities, known as environmental enrichment (EE). However, it is important to ensure the enrichment provides benefit to the animal, and as such the behaviour of the animals can be monitored to understand the activities’ impacts. A pilot study was undertaken to evaluate the impact of seven different EE activities on the behaviour of 10 training dogs housed in an office environment during training within an assistance dog charity. Results suggest there is a need to diversify thinking around EE, shifting common thinking of EE as one entity to instead consider EE in different categories and to ensure animals receive a mixture of EE types.AbstractEnvironmental enrichment (EE) can be used to enhance the environment of various animals. The aim of this pilot study was to determine the effects of seven EE activities (Bonding, Bubble machine, Conspecific play, Interactive toy, Playhouse, Stuffed food toy and Tug play) on dog behaviour pre- and post-EE for dogs housed in an office environment during training as part of an assistance dog training programme. EE activities resulted in a significant increase in the frequency of relaxation behaviour (p< 0.01) and a significant reduction in alert (p< 0.01) and stress behaviour (p = 0.02). Results suggest various benefits of the different activities with Conspecific Play and Playhouse activities having the greatest overall positive behaviour change when compared to the other activities. The food-based EE activities (Interactive toy and Stuffed food toy) had the least behaviour change of all the activities provided. Findings will be of interest to pet owners, animal rescue centres, dog trainers and working dog organisations.","RAYYAN-INCLUSION: {""Kelsey""=>""Included""}",NA,NA,NA,"Dogs;Pilot Projects",2022,"Guide Dogs National Centre, Banbury Road, Bishop�s Tachbrook, Warwickshire CV33 9WF, UK; helen.vaterlawswhiteside@guidedogs.org.uk .  School of Science and the Environment, University of Worcester, St John�s. Campus, Henwick Grove, St. John�s, Worcester WR2 6AJ, UK; s.prankel@worc.ac.uk"
"7","rayyan-825284660","Intranasal Oxytocin Improves Social Behavior in Laboratory Beagle Dogs (Canis familiaris) Using a Custom-Made Social Test Battery",NA,NA,"frontiers in veterinary science","2297-1769",9,NA,"785805-785805","Turcsán, Borbála and Román, Viktor and Lévay, György and Lendvai, Balázs and Kedves, Rita and Petró, Eszter and Topál, József","https://www.proquest.com/docview/2638953279?accountid=12753&bdid=17177&_bd=qfz%2BTLk1%2BTwHhAjirSFcUkpvXwI%3D",NA,NA,"For a long time, oxytocin has been thought to have a generally positive effect on social cognition and prosocial behaviour however, recent results suggested that oxytocin has beneficial effects only under certain conditions. The aim of the present study was to explore potential associations between social competence and the effect of intranasal oxytocin on the social behaviour of laboratory beagle dogs. We expected oxytocin treatment to have a more pronounced positive effect on dogs with lower baseline performance in a social test battery. Thirty-six adult dogs of both sexes received 32 IU intranasal oxytocin and physiological saline (placebo) treatment in a double-blind, cross-over design, with 17-20 days between the two sessions. Forty minutes after the treatment, dogs participated in a social test battery consisting of eight situations. The situations were carried out within one session and took 20-30 min to complete. Principal component analysis on the coded behaviour identified four components (Willingness to interact, Preference for social contact, Non-aversive response to nonsocial threat, and Non-aversive response to social threat). The subjects' behaviour during the placebo condition was used to assess their baseline performance. We found that oxytocin treatment had a differential effect on the behaviour depending on the baseline performance of the individuals in all components, but only two treatment × baseline performance interactions remained significant in a less sensitive analysis. In accordance with our hypothesis, oxytocin administration increased dogs' contact seeking and affiliative behaviour toward humans but only for those with low baseline performance. Dogs with low baseline performance also showed significantly more positive (friendly) reactions to social threat after oxytocin administration than after placebo, while for dogs with high baseline performance, oxytocin administration led to a more negative (fearful) reaction. These results indicate that similar to those on humans, the effects of oxytocin on dogs' social behaviour are not universally positive but are constrained by individual characteristics and the context. Nevertheless, oxytocin administration has the potential to improve the social behaviour of laboratory beagle dogs that are socially less proficient when interacting with humans, which could have both applied and animal welfare implications.","785805 | RAYYAN-INCLUSION: {""Kelsey""=>""Included"", ""l.c.blake""=>""Included""} | RAYYAN-LABELS: pass new rule",NA,NA,NA,"Dogs;MSH Release-Inhibiting Hormone;Social Behavior;Oxytocin",2022,"Institute of Cognitive Neuroscience and Psychology, Research Centre for Natural Sciences, Budapest, Hungary. Pharmacology and Drug Safety Research, Gedeon Richter Plc., Budapest, Hungary."
"8","rayyan-825284890","Motivations of Human Helping Behavior towards Dogs",NA,NA,"veterinary sciences","23067381 (ISSN)",9,3,NA,"D’ingeo, S. and Ferlisi, G. and Minunno, M. and Palmisano, G. L. and Ventriglia, G. and Siniscalchi, M. and Quaranta, A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127696519&doi=10.3390%2fvetsci9030145&partnerID=40&md5=0d48aed3ae4a03264ff0033e2f770da6","English",NA,"Human–dog interactions have a positive effect on human sociality and health. The relationship with dogs helps humans to cope with stress during an emotionally challenging period, such as the COVID-19 pandemic. During this period, a growing global interest in pets has been registered, including the volunteering for shelter/stray dog protection. However, a considerable increase of human dysfunctional interventions toward dogs has been observed in Southern Italy. In this study, we investigated the psychological characteristics of humans volunteering at animal shelter or engaged in stray dog protection. The effect of psychological training and education about dog ethological needs on volunteers’ helping behaviour was also analyzed. We report that the intervention can improve volunteers’ physiological features and, consequently, may enhance human management and dog welfare. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","Export Date: 17 May 2022     Correspondence Address: Quaranta, A.; Animal Physiology and Behavior Unit, Italy; email: angelo.quaranta@uniba.it | RAYYAN-INCLUSION: {""Kelsey""=>""Included"", ""l.c.blake""=>""Included""} | RAYYAN-LABELS: fails new rule | RAYYAN-EXCLUSION-REASONS: wrong outcome | USER-NOTES: {""Kelsey""=>[""Can't tell if proxy measures or not, or quantitative or not. Very vague.""]}",NA,NA,NA,"cognitive therapy interventions;dog;human–animal relationship;volunteers;welfare;adult;animal experiment;article;cognitive therapy;cooperation;education;female;human;human-animal relation;Italy;male;motivation;nonhuman;stray dog;Humanities;Humanism;Humans;Dogs;Motivation",2022,"Animal Physiology and Behavior Unit, Department of Veterinary Medicine, University of Bari Aldo Moro, Bari, 70121, Italy     Tree of Life Psychological Centre, Bari, 70124, Italy     Centro Ricerche Sullo Stress Interpersonale (CRISI), Cooperativa Sociale ONLUS, Bari, 70125, Italy"
"9","rayyan-825284629","Overimitation in Dogs: Is There a Link to the Quality of the Relationship with the Caregiver?",NA,NA,"animals","20762615",12,3,"326","Huber, Ludwig and Huber, Ludwig and Kubala, Denise and Cimarelli, Giulia","https://www.proquest.com/docview/2627437496?accountid=12753&bdid=17177&_bd=x3FR6OwpL2SbPrA51WmNejUKH%2FE%3D",NA,NA,"Simple SummaryHumans, but no other primates, show overimitation: the copying of causally irrelevant or non-functional actions. Recent studies have provided evidence for overimitation in canines, but mainly when their human caregiver—not an unfamiliar person—is demonstrating the irrelevant action. Therefore, we hypothesized that dogs show overimitation as a result of affiliation. Here, we tested if the eagerness to overimitate is influenced by the relationship quality between dog and caregiver by measuring, on the one hand, their relationship and on the other hand, the overimitation tendency. Although our overall results were not significant, our data might suggest that, on average, the dogs who overimitated might also show more referential and affiliative behaviour towards the owner (like gazing, synchronization and greeting) than dogs who showed less or no copying of the irrelevant action. Possible reasons for these negative findings are discussed, together with the implications for dog owners.AbstractOverimitation, the copying of causally irrelevant or non-functional actions, is well-known from humans but completely absent in other primates. Recent studies from our lab have provided evidence for overimitation in canines. Previously, we found that half of tested pet dogs copied their human caregiver’s irrelevant action, while only few did so when the action was demonstrated by an unfamiliar experimenter. Therefore, we hypothesized that dogs show overimitation as a result of socio-motivational grounds. To test this more specifically, here we investigated how the relationship with the caregiver influenced the eagerness to overimitate. Given the high variability in the tendency to overimitate their caregiver, we hypothesized that not only familiarity but also relationship quality influences whether dogs faithfully copy their caregiver. For this purpose, on the one hand we measured the overimitation tendency (with the same test as in the two studies before) and on the other hand the relationship quality between the dogs and their caregivers. Although we found no significant correlation between the two test results, our data might suggest that, on average, dogs who overimitated seemed to show more referential and affiliative behaviour towards the owner than dogs who showed less or no copying of the irrelevant action. Notably, as a group, those dogs that showed the highest level of copying accuracy of the irrelevant action showed the highest level of gazing and synchronization towards the owner.","RAYYAN-INCLUSION: {""Kelsey""=>""Included"", ""l.c.blake""=>""Included""} | RAYYAN-LABELS: fails new rule",NA,NA,NA,"Dogs;Caregivers",2022,"Clever Dog Lab, Comparative Cognition, Messerli Research Institute, University of Veterinary Medicine Vienna, Medical University of Vienna, University of Vienna, 1210 Vienna, Austria;
denise.kubala@vetmeduni.ac.at (D.K.); giulia.cimarelli@vetmeduni.ac.at (G.C.).  Domestication Lab, Konrad Lorenz Institute of Ethology, University of Veterinary Medicine Vienna,
1210 Vienna, Austria; Correspondence: ludwig.huber@vetmeduni.ac.at; Tel.: +43-664-602576250"
"10","rayyan-825284690","Preliminary investigation into personality and effectiveness of livestock guarding dogs in Namibia",NA,NA,"journal of veterinary behavior","1558-7878",48,NA,"11-19","McConnell, Isabella and Marker, Laurie and Rooney, Nicola","https://www.proquest.com/docview/2636823063?accountid=12753&bdid=17177&_bd=RiK%2FpfA3XbQhTlZEfdbZSrbANac%3D",NA,NA,"Livestock guarding dogs (LGDs) are used all over the world to help in carnivore conservation by mitigating human-wildlife conflict. In Namibia, LGDs are used in cheetah conservation to prevent depredation of stock and reduce retaliatory killings. However, behaviour problems in the dogs, such as chasing wildlife and harassing livestock, exist leading to poor dog performance and farmer dissatisfaction. In most other types of working dogs, behaviour tests for suitability are reported and/or validated within the scientific literature. To date this has not been done for LGDs. In this paper, we design a composite behaviour test and a questionnaire to rate the dogs’ effectiveness as an LGD. This test was used on 14 LGDs, 7 of which were operational and 7 of which were being used as breeding stock. In total, 16 behaviour variables were measured. A Principal Components Analysis reduced these to 5 underlying personality traits: “Playfulness,” “Trainability,” “Independence,” “Sociability with people” and “Reactivity.” When 14 dogs were tested 3 times, 20 days apart, the traits “Playfulness,” “Trainability” and “Independence” were found to be consistent. “Trainability” was negatively correlated to dog age. Dogs with a higher “Trainability” and lower “Reactivity” showed a tendency to be rated as more effective by their herdsman. Dogs scoring higher for “Playfulness” were more likely to be reported to harass stock, and dogs that chased a moving object under experimental conditions were generally rated higher for tendency to chase predator wildlife when working. This study suggests that there are personality attributes which can be measured and are consistent across time in LGDs. Several of these are linked to better performance in trained dogs. Whether these are predictive of later performance in untrained dogs, is yet to be ascertained.","p. 11-19 | RAYYAN-INCLUSION: {""Kelsey""=>""Included"", ""l.c.blake""=>""Included""} | RAYYAN-LABELS: fails new rule",NA,NA,NA,"Dogs",2022,"McConnell, Isabella Bristol Veterinary School, University of Bristol, Langford, UK. , Cheetah Conservation Fund, Otjiwarongo, Namibia."
