key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-825284593,Rein sensor leash tension measurements in owner-dog dyads navigating a course with distractions,2019,NA,NA,Journal of veterinary behavior,1558-7878,NA,NA,NA,"Herwijnen, Ineke Rombout van and Beerda, Bonne and Naguib, Marc and van der Borg, Joanne",https://www.proquest.com/docview/2335113034?accountid=12753&bdid=17177&_bd=2jfiUb9ESlrhbhUOQ2IAo5BSZyU%3D,NA,NA,"Department of Animal Sciences, Behavioural Ecology Group, Wageningen University and Research, Wageningen, The Netherlands. , Department of Animal Sciences, Behavioural Ecology Group, Wageningen University and Research, Wageningen, The Netherlands. ","Consistent owner-dog interaction patterns such as dog-directed parenting styles could reflect in the leash tension applied when walking a dog. Rein sensors are commonly used to measure tension applied to a horse's bit and our research aim was to evaluate the performance of this methodology for measuring leash tension. We evaluated the consistency of leash tension measurements in owner-dog dyads walking a food-distraction course and a more complex zigzag object-distraction course to confirm our prediction that the more challenging course would trigger increased leash tension. Leash tension sample points were averaged per owner-dog dyad per course, and we used restricted maximum likelihood to analyze leash tensions for effects of course difficulty and dog body weight. In 24 participating owner-dog dyads, leash tension was an average (±standard deviation) 18.29 ± 14.03 newtons. Leash tensions were 1.6 times higher (P < 0.001) during the more challenging second course than during the easier first one and variation between owner-dog dyads was consistent across the two courses (rank correlation of 0.63, P = 0.001, N = 24). Our findings support the usefulness of rein sensors for measuring leash tension, with potential applications in studies on the owner-dog relationship such as how leash exerted levels of control relate to dog-directed parenting styles.","RAYYAN-INCLUSION: {""Kelsey""=>""Included"", ""l.c.blake""=>""Included""} | RAYYAN-LABELS: fails new rule",NA,Dogs,NA,NA
rayyan-825284596,Dog behaviours in veterinary consultations: Part 1. Effect of the owner’s presence or absence,2022,NA,NA,veterinary journal,1090-0233,280,NA,NA,"Girault, C. and Priymenko, N. and Helsly, M. and Duranton, C. and Gaunet, F.",https://www.proquest.com/docview/2648861879?accountid=12753&bdid=17177&_bd=zIxllzrVUQEIUwmCXuN3r6piVeo%3D,NA,NA,"Girault, C Ecole Nationale V�t�rinaire de Toulouse, ENVT, 23 chemin des Capelles, BP 87614, 31076 Toulouse Cedex, France. , TOXALIM, Universit� de Toulouse, INRA, ENVT, 23 chemin des Capelles, BP 87614, 31076 Toulouse Cedex, France. ","Veterinary practices can be stressful places for dogs. Decreasing stress during veterinary consultations is therefore a major concern, since animal welfare matters both for owners and veterinarians. Stress can be expressed through behaviour modifications; monitoring canine behaviour is thus one way to assess stress levels. We also know that the owner can affect dog behaviour in different ways. The aim of this study was therefore to assess the effect of the presence of owners on the behaviour of their dogs in veterinary consultations. We studied 25 dog-owner dyads at two standardised veterinary consultations, conducted at intervals of 5–7 weeks; the owner was present for the first consultation and absent for the second (O/NoO group, n = 12), or vice versa (NoO/O group, n = 13). A consultation consisted in three phases: exploration, examination, greeting. Dog behaviours were compared between the two conditions using a video recording. Despite some limitations (e.g. no male owners, the exclusion of aggressive dogs, a limited sample size, minimally invasive veterinary examinations, restricted owner-dog interactions), our results showed that the presence or absence of the owner had no significant effect on the stress-related behaviour of the dog or the veterinarian’s ability to handle the animal during the examination phase (P > 0.05). Nevertheless, the behaviour of the dogs towards people was affected before, during, and after the veterinary examination. In the presence of their owner, dogs were more willing to enter the consultation room (P < 0.05), and they appeared more relaxed during the exploration phase (P < 0.01). During the examination, dogs looked in direction of their owner in both situations (owner present and behind the door, respectively; P < 0.001). These results suggest that allowing the owner to stay in the room during veterinary consultations is a better option for canine welfare.","RAYYAN-INCLUSION: {""Kelsey""=>""Included"", ""l.c.blake""=>""Included""} | RAYYAN-LABELS: pass new rule",NA,Dogs;Referral and Consultation,NA,NA
rayyan-825284598,"The combined use of salivary cortisol concentrations, heart rate, and respiratory rate for the welfare assessment of dogs involved in AAI programs",2019,NA,NA,Journal of veterinary behavior,1558-7878,NA,NA,NA,"de Carvalho, Inês R. and Almeida, Virgílio and de Sousa, Liliana and Nunes, Telmo",https://www.proquest.com/docview/2335118605?accountid=12753&bdid=17177&_bd=0UCT3b6dBddF8gpFi1Kkwmwt3dU%3D,NA,NA,"Faculty of Veterinary Medicine, University of Lisbon, Avenida da Universidade Te_cnica, 1300-477 Lisboa, Portugal. , Faculty of Veterinary Medicine, University of Lisbon, Avenida da Universidade T�cnica, 1300-477 Lisboa, Portugal.  ","Animal-assisted interventions (AAIs) are increasingly popular throughout the world, with a growing trend. Despite all their potential benefits, there are certain risks to both humans and animals involved in AAI programs that should not be disregarded, such as the burnout of the animals. This study investigated the welfare of dogs during AAIs in Portugal. Three welfare indicators related to stress were assessed in nineteen dogs of nineteen human-dog dyads: salivary cortisol concentration, heart rate (HR), and respiratory rate. These measurements were carried out at two time points: at home and after session. This combined assessment allows for the evaluation of the two main neurohormonal pathways related to stress responses: the hypothalamic-pituitary-adrenal axis and the sympathetic-adrenal-medullary axis. Along with monitoring these indicators, a questionnaire was given to each animal handler immediately before the sample collection, to collect demographic data about his/her dog and to characterize the AAI session they were involved in. Statistically significant differences were found (P < 0.05) among the indicators' mean/median values at home and after an AAI session, with the postsession values being higher. Dogs involved in animal-assisted activities had significantly higher mean HR values after session when compared with the ones involved in animal-assisted therapies (P = 0.015), despite all of them being within the normal range. The dogs subjected to a transport time of longer than fifty minutes also had significantly higher mean HR (P = 0.007) and median respiratory rate (P = 0.0001) after session. Most of the dogs (n = 15) had salivary cortisol concentration values within what is considered to be the normal range (<0.3 μg/dL) with only one dog having an extremely high value (1.101 μg/dL) that was attributed to the entrance protocol in the AAI site and to the characteristics of the session itself. The analysis of the three indicators did not raise severe concern about the welfare of the monitored dogs, but some practices that should be avoided were identified: long transport to the AAI site (≥50 minutes); performing AAI in excessively warm rooms; and entering schools during children's playtime.","RAYYAN-INCLUSION: {""Kelsey""=>""Included"", ""l.c.blake""=>""Included""} | RAYYAN-LABELS: pass new rule",NA,Dogs;Heart Rate;Hydrocortisone,NA,NA
rayyan-825284601,Salivary Cortisol Interactions in Search and Rescue Dogs and their Handlers,2020,NA,NA,Animals : an open access journal from MDPI,2076-2615,10,4,NA,"Wojtaś, Justyna and Karpiński, Mirosław and Czyżowski, Piotr",https://www.proquest.com/docview/2386278863?accountid=12753&bdid=17177&_bd=bBmw%2BBrEDrYdNkmZs1MpboPb3Gw%3D,NA,NA,"Department of Animal Ethology and Wildlife Management, University of Life Sciences in Lublin, Akademicka 13, 20-950 Lublin, Poland.","Search and rescue dogs are an important link in the search for missing persons. The aim of the study was to assess exam stress in search and rescue dogs and their guides. The study included 41 rescue teams taking exams of field and rubble specialties. The level of cortisol, which is the main glucocorticosteroid modulating stress reactions in humans and dogs, was analyzed. The biological material used to assess the hormone concentration was saliva collected in a non-invasive way. In total, 164 test samples were collected: two from the dog and two from the guide before and immediately after the exam. Rescue exams were shown to significantly increase salivary cortisol in both dogs and their guides. Strong interactions between cortisol levels in human-dog teams were also found with a more pronounced effect in female dog-female handler dyads.","RAYYAN-INCLUSION: {""Kelsey""=>""Included"", ""l.c.blake""=>""Included""} | RAYYAN-LABELS: pass new rule",NA,Hydrocortisone;Dogs,NA,NA
rayyan-825284613,Efficacy of Dog Training With and Without Remote Electronic Collars vs. a Focus on Positive Reinforcement,2020,NA,NA,Frontiers in veterinary science,2297-1769,7,NA,508-508,"China, Lucy and Mills, Daniel S. and Cooper, Jonathan J.",https://www.proquest.com/docview/2434484563?accountid=12753&bdid=17177&_bd=tN93UzqDaqUwVPRtxZ4GLwSBHMU%3D,NA,NA,"Animal Behaviour, Cognition and Welfare Research Group, School of Life Sciences, University of Lincoln, Lincoln, United Kingdom. ","We assessed the efficacy of dog training with and without remote electronic collars compared to training with positive reinforcement. A total of 63 dogs with known off-lead behavioral problems such as poor recall were allocated to one of three training groups (each n = 21), receiving up to 150 min of training over 5 days to improve recall and general obedience. The 3 groups were: E-collar-manufacturer-nominated trainers who used electronic stimuli as part of their training program; Control 1-the same trainers following practices they would apply when not using electronic stimuli; and Control 2-independent, professional trainers who focused primarily on positive reinforcement for their training. Data collection focused on dogs' response to two commands: ""Come"" (recall to trainer) and ""Sit"" (place hindquarters on ground). These were the two most common commands used during training, with improving recall being the target behavior for the subject dogs. Measures of training efficacy included number of commands given to elicit the response and response latency. Control 2 achieved significantly better responses to both ""Sit"" and ""Come"" commands after a single instruction in the allocated time. These dogs also had shorter response latencies than the E-collar group. There was no significant difference in the proportion of command disobeyed between the three groups, although significantly fewer commands were given to the dogs in Control 2. There was no difference in the number of verbal cues used in each group, but Control 2 used fewer hand and lead signals, and Control 1 made more use of these signals than E-collar group. These findings refute the suggestion that training with an E-collar is either more efficient or results in less disobedience, even in the hands of experienced trainers. In many ways, training with positive reinforcement was found to be more effective at addressing the target behavior as well as general obedience training. This method of training also poses fewer risks to dog welfare and quality of the human-dog relationship. Given these results we suggest that there is no evidence to indicate that E-collar training is necessary, even for its most widely cited indication.","508 | RAYYAN-INCLUSION: {""Kelsey""=>""Included"", ""l.c.blake""=>""Included""} | RAYYAN-LABELS: fails new rule",NA,Dogs;Reinforcement (Psychology),NA,NA
rayyan-825284623,Dog behaviours in veterinary consultations: Part II. The relationship between the behaviours of dogs and their owners,2022,NA,NA,veterinary journal,1090-0233,281,NA,NA,"Helsly, M. and Priymenko, N. and Girault, C. and Duranton, C. and Gaunet, F.",https://www.proquest.com/docview/2648861909?accountid=12753&bdid=17177&_bd=550foqQggSZib%2BIlgePpRgXd2As%3D,NA,NA,"Helsly, M Ecole Nationale V�t�rinaire de Toulouse, ENVT, 23 chemin des Capelles, BP 87614, 31076 Toulouse Cedex, France. , TOXALIM, Universit� de Toulouse, Institut National de la Recherche Agronomique, ENVT, 23 chemin des Capelles, BP 87614, 31076 Toulouse cedex, France. ","Dogs synchronise their behaviour with those of their owners when confronted with an unfamiliar situation and interactions with their owners have been shown to decrease the dog’s stress levels in some instances. However, whether owners may help manage dog anxiety during veterinary consultations remains unclear. In Part I, we compared the behaviour of dogs in the presence or absence of their owners during consultations, which consisted in three phases: exploration, examination, and greeting. Our findings suggest that allowing owners to attend consultations may be beneficial for dogs. In Part II, we investigated the direct relationship between owners’ actions and their dog’s behaviour. Using the videos from Part I, we examined whether: (1) dogs interact more when their owner is more interactive; (2) owners’ stress scores are related to canine stress-related behaviour and emotional state; (3) owners’ actions influence canine stress-related behaviours, emotional state and tolerance to manipulations; (4) canine stress-related behaviours and emotional state are associated with increased eye contact with their owners. We analysed the recordings of 29 dog-owner dyads submitted to a veterinary consultation in Part I. The behaviours of the dogs and their owners were analysed, and their emotional states were scored. The ease of manipulations was also scored. Despite limitations (e.g. no physical contact during examinations, no invasive procedures, aggressive dogs excluded, no male owners, limited sample size), our study showed a link between dog and owner behaviours: when owners attended an examination, their negative behaviours intensified the signs of anxiety in their dogs. Additionally, visual and verbal attempts to comfort their dog had no significant effect. However, we observed that the more dogs displayed stress-related behaviours, the more they established eye contact with their owners, suggesting that dogs seek information (through social referencing) or reassurance from their owners.","RAYYAN-INCLUSION: {""Kelsey""=>""Included"", ""l.c.blake""=>""Included""} | RAYYAN-LABELS: pass new rule",NA,Dogs;Referral and Consultation,NA,NA
rayyan-825284625,Pet dogs’ behavior when the owner and an unfamiliar person attend to a faux rival,2018,NA,NA,PLoS One,19326203,13,4,e0194577,"Prato-Previde, Emanuela and Nicotra, Velia and Pelosi, Annalisa and Valsecchi, Paola",https://www.proquest.com/docview/2027033811?accountid=12753&bdid=17177&_bd=Ef8rTq6d%2Bvlg3NyjhrdN2IzsKsc%3D,NA,NA,"Dipartimento di Fisiopatologia Medico-Chirurgica e dei Trapianti, Universit� degli Studi di Milano, Milano,
Italy,. Dipartimento di Medicina e Chirurgia, Universit� degli Studi di Parma, Parma, Italy,.  Dipartimento di
Scienze Chimiche, della Vita e della Sostenibilit� Ambientale, Universit� degli Studi di Parma, Parma, Italy","While dog owners ascribe different emotions to their pets, including jealousy, research on secondary emotions in nonhuman animals is very limited and, so far, only one study has investigated jealousy in dogs (Canis familiaris). This work explores jealousy in dogs one step further. We conducted two studies adapting a procedure devised to assess jealousy in human infants. In each study 36 adult dogs were exposed to a situation in which their owner and a stranger ignored them while directing positive attention towards three different objects: a book, a puppet and a fake dog (Study 1: furry; Study 2: plastic). Overall, the results of both studies do not provide evidence that the behavioral responses of our dogs were triggered by jealousy: we did not find a clear indication that the fake dogs were perceived as real social rivals, neither the furry nor the plastic one. Indeed, dogs exhibited a higher interest (i.e. look at, interact with) towards the fake dogs, but differences in the behavior towards the fake dog and the puppet only emerged in Study 2. In addition, many of the behaviors (protest, stress, attention seeking, aggression) that are considered distinctive features of jealousy were not expressed or were expressed to a limited extent, revealing that dogs did not actively try to regain their owner’s attention or interfere with the interaction between the owner and the faux rival. Finally, a differentiated response towards the attachment figure (the owner) and the unfamiliar person (the stranger) did not emerge. Differently from what reported in human infants, dogs’ behavior towards the attachment figure and the stranger interacting with the potential competitor (in this case, the fake dog) did not significantly differ: in both studies dogs paid attention to the owner and the stranger manipulating the fake dog to the same extent. In conclusion, we do not exclude that dogs could possess a rudimentary form of jealousy, but we suggest that research on this topic should require the use of a real social interloper (conspecific or human) and more naturalistic procedures.","RAYYAN-INCLUSION: {""Kelsey""=>""Included"", ""l.c.blake""=>""Included""} | RAYYAN-LABELS: pass new rule",NA,Dogs,NA,NA
rayyan-825284628,Effects of Affiliative Human-Animal Interaction on Dog Salivary and Plasma Oxytocin and Vasopressin,2017,NA,NA,Frontiers in psychology,1664-1078,8,NA,1606-1606,"MacLean, Evan L. and Gesquiere, Laurence R. and Gee, Nancy R. and Levy, Kerinne and Martin, W. Lance and Carter, C. Sue",https://www.proquest.com/docview/1947614504?accountid=12753&bdid=17177&_bd=jYXsX7qGcNkDMfc%2BZZ3wO2sNme4%3D,NA,NA,"School of Anthropology, University of Arizona, TucsonAZ, United States. Department of Biology, Duke University, DurhamNC, United States. WALTHAM Centre for Pet NutritionLeicestershire, United Kingdom. Canine Companions for Independence, Santa RosaCA, United States. Martin-Protean, LLC, PrincetonNJ, United States. Kinsey Institute and Department of Biology, Indiana University, BloomingtonIN, United States. ","Oxytocin (OT) and vasopressin (AVP) are neuropeptides with diverse effects on social behavior, cognition and stress responses. Recent studies suggest that OT facilitates and responds to affiliative forms of human-animal interaction (HAI). However, previous studies measuring OT and AVP in dogs have been limited to measures from blood or urine, which present concerns related to the invasiveness of sample collection, the potential for matrix interference in immunoassays, and whether samples can be collected at precise time points to assess event-linked endocrine responses. Previous studies from our laboratory validated salivary measures of OT and AVP in dogs, however, it is currently unknown whether these measures respond dynamically to aspects of HAI. Here, we investigated the effects of affiliative forms of HAI on both plasma and salivary OT and AVP in dogs. We employed a within- and between-subjects design with a group of Labrador retrievers and Labrador retriever × golden retriever crosses (23 females, 15 males). Half of the dogs engaged in 10 min of free-form friendly interaction with a human experimenter (HAI condition), and the other half rested quietly in the same environment, without human interaction (control condition). We collected blood and saliva samples before, and immediately following both experimental conditions, and all samples were analyzed using enzyme-linked immunosorbent assays (ELISAs) following previously validated protocols. Dogs participating in HAI exhibited a significant increase in both salivary OT (+39%) and plasma OT (+5.7%) whereas dogs in the control group did not. Salivary AVP showed no change in the HAI group but increased significantly (+33%) in the control group. Plasma AVP decreased significantly following HAI (-13%) but did not change across time in the control condition. Within the dogs exposed to HAI, increases in salivary OT, and decreases in plasma AVP, were predicted by the extent of affiliative behavior between the dog and human (indexed by scores from a principal components analysis of social behaviors between the dog and human). Collectively our results suggest that measures of salivary OT and AVP provide useful biomarkers in studies of HAI, and afford a flexible and non-invasive toolkit than can be employed in diverse research contexts.","1606 | RAYYAN-INCLUSION: {""Kelsey""=>""Included"", ""l.c.blake""=>""Included""} | RAYYAN-LABELS: pass new rule",NA,Humanities;Humanism;Humans;Dogs;Animals;Vasopressins;Oxytocin;MSH Release-Inhibiting Hormone;Animal Shells,NA,NA
rayyan-825284629,Overimitation in Dogs: Is There a Link to the Quality of the Relationship with the Caregiver?,2022,NA,NA,Animals,20762615,12,3,326,"Huber, Ludwig and Huber, Ludwig and Kubala, Denise and Cimarelli, Giulia",https://www.proquest.com/docview/2627437496?accountid=12753&bdid=17177&_bd=x3FR6OwpL2SbPrA51WmNejUKH%2FE%3D,NA,NA,"Clever Dog Lab, Comparative Cognition, Messerli Research Institute, University of Veterinary Medicine Vienna, Medical University of Vienna, University of Vienna, 1210 Vienna, Austria;
denise.kubala@vetmeduni.ac.at (D.K.); giulia.cimarelli@vetmeduni.ac.at (G.C.).  Domestication Lab, Konrad Lorenz Institute of Ethology, University of Veterinary Medicine Vienna,
1210 Vienna, Austria; Correspondence: ludwig.huber@vetmeduni.ac.at; Tel.: +43-664-602576250","Simple SummaryHumans, but no other primates, show overimitation: the copying of causally irrelevant or non-functional actions. Recent studies have provided evidence for overimitation in canines, but mainly when their human caregiver—not an unfamiliar person—is demonstrating the irrelevant action. Therefore, we hypothesized that dogs show overimitation as a result of affiliation. Here, we tested if the eagerness to overimitate is influenced by the relationship quality between dog and caregiver by measuring, on the one hand, their relationship and on the other hand, the overimitation tendency. Although our overall results were not significant, our data might suggest that, on average, the dogs who overimitated might also show more referential and affiliative behaviours towards the owner (like gazing, synchronization and greeting) than dogs who showed less or no copying of the irrelevant action. Possible reasons for these negative findings are discussed, together with the implications for dog owners.AbstractOverimitation, the copying of causally irrelevant or non-functional actions, is well-known from humans but completely absent in other primates. Recent studies from our lab have provided evidence for overimitation in canines. Previously, we found that half of tested pet dogs copied their human caregiver’s irrelevant action, while only few did so when the action was demonstrated by an unfamiliar experimenter. Therefore, we hypothesized that dogs show overimitation as a result of socio-motivational grounds. To test this more specifically, here we investigated how the relationship with the caregiver influenced the eagerness to overimitate. Given the high variability in the tendency to overimitate their caregiver, we hypothesized that not only familiarity but also relationship quality influences whether dogs faithfully copy their caregiver. For this purpose, on the one hand we measured the overimitation tendency (with the same test as in the two studies before) and on the other hand the relationship quality between the dogs and their caregivers. Although we found no significant correlation between the two test results, our data might suggest that, on average, dogs who overimitated seemed to show more referential and affiliative behaviours towards the owner than dogs who showed less or no copying of the irrelevant action. Notably, as a group, those dogs that showed the highest level of copying accuracy of the irrelevant action showed the highest level of gazing and synchronization towards the owner.","RAYYAN-INCLUSION: {""Kelsey""=>""Included"", ""l.c.blake""=>""Included""} | RAYYAN-LABELS: fails new rule",NA,Dogs;Caregivers,NA,NA
rayyan-825284637,Dogs and their human companions: The effect of familiarity on dog–human interactions,2015,NA,NA,Behavioural processes,0376-6357,110,NA,27-36,"Kerepesi, Andrea and Ádám, Miklósi and Antal, Dóka",https://www.proquest.com/docview/2000234146?accountid=12753&bdid=17177&_bd=znEyn2EsiLfY2%2FAWSJAN9UNt%2B0Y%3D,NA,NA,"Kerepesi, Andrea MTA-ELTE Comparative Ethology Research Group, Budapest, Hungary. ","There are few quantitative examinations of the extent to which dogs discriminate between familiar and unfamiliar persons. In our study we have investigated whether dogs show differential behaviour towards humans of different degrees of familiarity (owner, familiar person, unfamiliar person). Dogs and humans were observed in eight test situations: (1) Three-way strange situation test, (2) Calling in from food, (3) Obedience test, (4) Walking away, (5) Threatening approach, (6) Playful interaction, (7) Food inhibition test and (8) Manipulation of the dog's body.Dogs distinguished between the owner and the two other test partners in those tests which involved separation from the owner (Test 1, 4), were aversive for the dog (Test 5) or involved playing interaction (Test 6). Our results revealed that the owner cannot be replaced by a familiar person in situations provoking elevated anxiety and fear.In contrasts, dogs did not discriminate between the owner and the familiar person in those tests that were based on obedient behaviour or behaviour towards an assertive person (Tests 2, 3, 7 and 8). Dogs’ former training experience reduced the difference between their behaviour towards the owner and the familiar person in situations requiring obedience but it did not mask it totally. The dogs’ behaviour towards each of the humans participating in the tests was consistent all over the test series.In summary, dogs discriminated between their owner and the unfamiliar person and always preferred the owner to the unfamiliar person. However, the discrimination between the owner and the familiar person is context-specific.This article is part of a Special Issue entitled: Canine Behavior.","p. 27-36 | RAYYAN-INCLUSION: {""Kelsey""=>""Included"", ""l.c.blake""=>""Included""} | RAYYAN-LABELS: pass new rule",NA,Humanities;Humanism;Dogs;Humans,NA,NA
